型番,カード名,レアリティ,画像URL,画像タイトル,参照価格,元URL,カテゴリ,デフォルト動画,デフォルトバッジ,dopaID,wp_id,source
{187/171} [XY],イベルタルEX(UR仕様),UR,https://minnano-toreka.com/wp-content/uploads/2026/08/187-171-XY_minnanotoreca-10344801.webp,イベルタルEX(UR仕様)（UR）[{187/171} [XY]],,https://dopa-game.jp/pokemon/dp/10344801,,,,10344801,28329,DOPA
209/150,リザードンGX,SSR,https://minnano-toreka.com/wp-content/uploads/2026/08/209-150_minnanotoreca-10240080.webp,リザードンGX（SSR）[209/150],,https://dopa-game.jp/pokemon/dp/10240080,,,,10240080,28330,DOPA
{170/151} [151C],ピカチュウ(中国語版),AR,https://minnano-toreka.com/wp-content/uploads/2026/08/170-151-151C_minnanotoreca-10340798.webp,ピカチュウ(中国語版)（AR）[{170/151} [151C]],,https://dopa-game.jp/pokemon/dp/10340798,,,,10340798,28331,DOPA
-,ゴッホピカチュウ(未開封/Pikachu with Grey Felt Hat),P,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10278929.webp,ゴッホピカチュウ(未開封/Pikachu with Grey Felt Hat)（P）[-],,https://dopa-game.jp/pokemon/dp/10278929,,,,10278929,28332,DOPA
111/100,ギラティナV,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/111-100_minnanotoreca-10240406.webp,ギラティナV（SR）[111/100],,https://dopa-game.jp/pokemon/dp/10240406,,,,10240406,28333,DOPA
287/SM-P,イーブイ(ムンク),P,https://minnano-toreka.com/wp-content/uploads/2026/08/287-SM-P_minnanotoreca-10332042.webp,イーブイ(ムンク)（P）[287/SM-P],,https://dopa-game.jp/pokemon/dp/10332042,,,,10332042,28334,DOPA
190/173,エリカのおもてなし,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/190-173_minnanotoreca-10240077.webp,エリカのおもてなし（SR）[190/173],,https://dopa-game.jp/pokemon/dp/10240077,,,,10240077,28335,DOPA
070/066,シロナ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/070-066_minnanotoreca-10240076.webp,シロナ（SR）[070/066],,https://dopa-game.jp/pokemon/dp/10240076,,,,10240076,28336,DOPA
091/069,グレイシアVMAX,HR,https://minnano-toreka.com/wp-content/uploads/2026/08/091-069_minnanotoreca-10240215.webp,グレイシアVMAX（HR）[091/069],,https://dopa-game.jp/pokemon/dp/10240215,,,,10240215,28337,DOPA
055/053,レシラム,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/055-053_minnanotoreca-10345274.webp,レシラム（SR）[055/053],,https://dopa-game.jp/pokemon/dp/10345274,,,,10345274,28338,DOPA
061/SM-P,ピカチュウ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/061-SM-P_minnanotoreca-10289445.webp,ピカチュウ（P）[061/SM-P],,https://dopa-game.jp/pokemon/dp/10289445,,,,10289445,28339,DOPA
{055/053} [その他],ゼクロム,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/055-053_minnanotoreca-10341758.webp,ゼクロム（SR）[{055/053} [その他]],,https://dopa-game.jp/pokemon/dp/10341758,,,,10341758,28340,DOPA
282/SM-P  その他,ヨコハマのピカチュウ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/282-SM-P_minnanotoreca-10346692.webp,ヨコハマのピカチュウ（P）[282/SM-P  その他],,https://dopa-game.jp/pokemon/dp/10346692,,,,10346692,28341,DOPA
212/XY-P,シェイミEX,P,https://minnano-toreka.com/wp-content/uploads/2026/08/212-XY-P_minnanotoreca-10338247.webp,シェイミEX（P）[212/XY-P],,https://dopa-game.jp/pokemon/dp/10338247,,,,10338247,28342,DOPA
{125/SM-P} [その他],ブラッキーGX,P,https://minnano-toreka.com/wp-content/uploads/2026/08/125-SM-P_minnanotoreca-10342065.webp,ブラッキーGX（P）[{125/SM-P} [その他]],,https://dopa-game.jp/pokemon/dp/10342065,,,,10342065,28343,DOPA
142/SM-P,ポンチョを着たイーブイ/リーフィア(未開封),P,https://minnano-toreka.com/wp-content/uploads/2026/08/142-SM-P_minnanotoreca-10292095.webp,ポンチョを着たイーブイ/リーフィア(未開封)（P）[142/SM-P],,https://dopa-game.jp/pokemon/dp/10292095,,,,10292095,28344,DOPA
139/SM-P,ポンチョを着たイーブイ/ブースター,SM-P,https://minnano-toreka.com/wp-content/uploads/2026/08/139-SM-P_minnanotoreca-10239955.webp,ポンチョを着たイーブイ/ブースター（SM-P）[139/SM-P],,https://dopa-game.jp/pokemon/dp/10239955,,,,10239955,28345,DOPA
XY-P,ピッチのピカチュウ(未開封),P,https://minnano-toreka.com/wp-content/uploads/2026/08/XY-P_minnanotoreca-10329441.webp,ピッチのピカチュウ(未開封)（P）[XY-P],,https://dopa-game.jp/pokemon/dp/10329441,,,,10329441,28346,DOPA
{089/080} [XY],ギャラドスEX,UR,https://minnano-toreka.com/wp-content/uploads/2026/08/089-080-XY_minnanotoreca-10341438.webp,ギャラドスEX（UR）[{089/080} [XY]],,https://dopa-game.jp/pokemon/dp/10341438,,,,10341438,28347,DOPA
143/SM-P,ポンチョを着たイーブイ/グレイシア(未開封),SM-P,https://minnano-toreka.com/wp-content/uploads/2026/08/143-SM-P_minnanotoreca-10239971.webp,ポンチョを着たイーブイ/グレイシア(未開封)（SM-P）[143/SM-P],,https://dopa-game.jp/pokemon/dp/10239971,,,,10239971,28348,DOPA
209/SM-P,火消し姿のピカチュウ,-,https://minnano-toreka.com/wp-content/uploads/2026/08/209-SM-P_minnanotoreca-10240099.webp,火消し姿のピカチュウ（-）[209/SM-P],,https://dopa-game.jp/pokemon/dp/10240099,,,,10240099,28349,DOPA
014/SM-P,団員ごっこピカチュウ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/014-SM-P_minnanotoreca-10330760.webp,団員ごっこピカチュウ（P）[014/SM-P],,https://dopa-game.jp/pokemon/dp/10330760,,,,10330760,28350,DOPA
068/060,マリィ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/068-060_minnanotoreca-10239957.webp,マリィ（SR）[068/060],,https://dopa-game.jp/pokemon/dp/10239957,,,,10239957,28351,DOPA
098/094,ミュウツー＆ミュウGX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/098-094_minnanotoreca-10239992.webp,ミュウツー＆ミュウGX（SR）[098/094],,https://dopa-game.jp/pokemon/dp/10239992,,,,10239992,28352,DOPA
060/054,ファイヤー＆サンダー＆フリーザーGX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/060-054_minnanotoreca-10240211.webp,ファイヤー＆サンダー＆フリーザーGX（SR）[060/054],,https://dopa-game.jp/pokemon/dp/10240211,,,,10240211,28353,DOPA
097/095,レシラム＆リザードンGX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/097-095_minnanotoreca-10239954.webp,レシラム＆リザードンGX（SR）[097/095],,https://dopa-game.jp/pokemon/dp/10239954,,,,10239954,28354,DOPA
086/070,こくばバドレックスVMAX,HR,https://minnano-toreka.com/wp-content/uploads/2026/08/086-070_minnanotoreca-10311917.webp,こくばバドレックスVMAX（HR）[086/070],,https://dopa-game.jp/pokemon/dp/10311917,,,,10311917,28355,DOPA
061/055,サーナイト＆ニンフィアGX(SA),SR,https://minnano-toreka.com/wp-content/uploads/2026/08/061-055_minnanotoreca-10315587.webp,サーナイト＆ニンフィアGX(SA)（SR）[061/055],,https://dopa-game.jp/pokemon/dp/10315587,,,,10315587,28356,DOPA
-,「オコヤの森のセレビィ&ザルード」セブンイレブンセット【未開封BOX】{-} [未開封BOX],-,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10346458.webp,「オコヤの森のセレビィ&ザルード」セブンイレブンセット【未開封BOX】{-} [未開封BOX]（-）[-],,https://dopa-game.jp/pokemon/dp/10346458,,,,10346458,28357,DOPA
147/S-P,カナザワのピカチュウ(未開封),P,https://minnano-toreka.com/wp-content/uploads/2026/08/147-S-P_minnanotoreca-10336787.webp,カナザワのピカチュウ(未開封)（P）[147/S-P],,https://dopa-game.jp/pokemon/dp/10336787,,,,10336787,28358,DOPA
BOX,反逆クラッシュ(ポケモンセンター限定セット)【未開封BOX】,BOX,https://minnano-toreka.com/wp-content/uploads/2026/08/BOX_minnanotoreca-10337940.webp,反逆クラッシュ(ポケモンセンター限定セット)【未開封BOX】（BOX）[BOX],,https://dopa-game.jp/pokemon/dp/10337940,,,,10337940,28359,DOPA
XY-P,ピカチュウ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/XY-P_minnanotoreca-10284075.webp,ピカチュウ（P）[XY-P],,https://dopa-game.jp/pokemon/dp/10284075,,,,10284075,28360,DOPA
188/171,シェイミEX(UR仕様),-,https://minnano-toreka.com/wp-content/uploads/2026/08/188-171_minnanotoreca-10338248.webp,シェイミEX(UR仕様)（-）[188/171],,https://dopa-game.jp/pokemon/dp/10338248,,,,10338248,28361,DOPA
110/098,ルギアV,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/110-098_minnanotoreca-10239972.webp,ルギアV（SR）[110/098],,https://dopa-game.jp/pokemon/dp/10239972,,,,10239972,28362,DOPA
182/173,ブラッキー&ダークライGX,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/182-173_minnanotoreca-10240200.webp,ブラッキー&ダークライGX（SR）[182/173],,https://dopa-game.jp/pokemon/dp/10240200,,,,10240200,28363,DOPA
119/100,ミュウVMAX,HR,https://minnano-toreka.com/wp-content/uploads/2026/08/119-100_minnanotoreca-10240407.webp,ミュウVMAX（HR）[119/100],,https://dopa-game.jp/pokemon/dp/10240407,,,,10240407,28364,DOPA
076/067,レックウザV,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/076-067_minnanotoreca-10311918.webp,レックウザV（SR）[076/067],,https://dopa-game.jp/pokemon/dp/10311918,,,,10311918,28365,DOPA
-,クララ＆セイボリーセット(双璧のファイター)【未開封BOX】,BOX,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10347070.webp,クララ＆セイボリーセット(双璧のファイター)【未開封BOX】（BOX）[-],,https://dopa-game.jp/pokemon/dp/10347070,,,,10347070,28366,DOPA
{094/165} [SV2a],ゲンガー(マスターボールミラー),R,https://minnano-toreka.com/wp-content/uploads/2026/08/094-165-SV2a_minnanotoreca-10341996.webp,ゲンガー(マスターボールミラー)（R）[{094/165} [SV2a]],,https://dopa-game.jp/pokemon/dp/10341996,,,,10341996,28367,DOPA
001/015,ピカチュウV(未開封),−,https://minnano-toreka.com/wp-content/uploads/2026/08/001-015_minnanotoreca-10239528.webp,ピカチュウV(未開封)（−）[001/015],,https://dopa-game.jp/pokemon/dp/10239528,,,,10239528,28368,DOPA
148/SM-P,リーリエ,P,https://minnano-toreka.com/wp-content/uploads/2026/08/148-SM-P_minnanotoreca-10239996.webp,リーリエ（P）[148/SM-P],,https://dopa-game.jp/pokemon/dp/10239996,,,,10239996,31853,DOPA
194/SM-P,ボスごっこピカチュウ ギンガ団(未開封),SM-P,https://minnano-toreka.com/wp-content/uploads/2026/08/194-SM-P_minnanotoreca-10239959.webp,ボスごっこピカチュウ ギンガ団(未開封)（SM-P）[194/SM-P],,https://dopa-game.jp/pokemon/dp/10239959,,,,10239959,28369,DOPA
-,ピカチュウ(ポーランド),-,https://minnano-toreka.com/wp-content/uploads/2026/08/none_minnanotoreca-10346454.webp,ピカチュウ(ポーランド)（-）[-],,https://dopa-game.jp/pokemon/dp/10346454,,,,10346454,28370,DOPA
089/069,リーフィアVMAX,HR,https://minnano-toreka.com/wp-content/uploads/2026/08/089-069_minnanotoreca-10312016.webp,リーフィアVMAX（HR）[089/069],,https://dopa-game.jp/pokemon/dp/10312016,,,,10312016,28371,DOPA
BOX,ポケモンカードジムセット『伝説の鼓動』【未開封BOX】,BOX,https://minnano-toreka.com/wp-content/uploads/2026/08/BOX_minnanotoreca-10337941.webp,ポケモンカードジムセット『伝説の鼓動』【未開封BOX】（BOX）[BOX],,https://dopa-game.jp/pokemon/dp/10337941,,,,10337941,28372,DOPA
034/088,MゲンガーEX,RR,https://minnano-toreka.com/wp-content/uploads/2026/08/034-088_minnanotoreca-10346453.webp,MゲンガーEX（RR）[034/088],,https://dopa-game.jp/pokemon/dp/10346453,,,,10346453,28373,DOPA
067/049,メイ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/067-049_minnanotoreca-10239958.webp,メイ（SR）[067/049],,https://dopa-game.jp/pokemon/dp/10239958,,,,10239958,28374,DOPA
