型番,カード名,レアリティ,画像URL,画像タイトル,参照価格,元URL,カテゴリ,デフォルト動画,デフォルトバッジ,dopaID,wp_id,source
ST01-008,(PSA10)ニコ・ロビン(漫画背景),C,https://minnano-toreka.com/wp-content/uploads/2026/08/ST01-008_minnanotoreca-10347706.webp,(PSA10)ニコ・ロビン(漫画背景)（C）[ST01-008],,https://dopa-game.jp/one-piece/dp/10347706,,,,10347706,31661,DOPA(ワンピ)
OP04-118,(PSA10)ネフェルタリ・ビビ,SEC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP04-118_minnanotoreca-10347707.webp,(PSA10)ネフェルタリ・ビビ（SEC）[OP04-118],,https://dopa-game.jp/one-piece/dp/10347707,,,,10347707,31662,DOPA(ワンピ)
{OP06-069},(PSA10/Asia)ヴィンスモーク・レイジュ,SR,https://minnano-toreka.com/wp-content/uploads/2026/08/OP06-069_minnanotoreca-10347809.webp,(PSA10/Asia)ヴィンスモーク・レイジュ（SR）[{OP06-069}],,https://dopa-game.jp/one-piece/dp/10347809,,,,10347809,31663,DOPA(ワンピ)
{OP01-004},(PSA10/英語版)ウソップ,R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-004_minnanotoreca-10322411.webp,(PSA10/英語版)ウソップ（R）[{OP01-004}],,https://dopa-game.jp/one-piece/dp/10347810,,,,10347810,31405,DOPA(ワンピ)
{OP03-044},(PSA10)カヤ(フルアート/foil),R,https://minnano-toreka.com/wp-content/uploads/2026/08/OP03-044_minnanotoreca-10347812.webp,(PSA10)カヤ(フルアート/foil)（R）[{OP03-044}],,https://dopa-game.jp/one-piece/dp/10347812,,,,10347812,31664,DOPA(ワンピ)
{EB01-031},(PSA10)カリファ(パラレル),R★,https://minnano-toreka.com/wp-content/uploads/2026/08/EB01-031_minnanotoreca-10241761.webp,(PSA10)カリファ(パラレル)（R★）[{EB01-031}],,https://dopa-game.jp/one-piece/dp/10347813,,,,10347813,30871,DOPA(ワンピ)
{ST04-005},(PSA10)クイーン,C,https://minnano-toreka.com/wp-content/uploads/2026/08/ST04-005_minnanotoreca-10239794.webp,(PSA10)クイーン（C）[{ST04-005}],,https://dopa-game.jp/one-piece/dp/10347814,,,,10347814,30692,DOPA(ワンピ)
{OP05-006},(PSA10)コアラ(パラレル),SR★,https://minnano-toreka.com/wp-content/uploads/2026/08/OP05-006_minnanotoreca-10326176.webp,(PSA10)コアラ(パラレル)（SR★）[{OP05-006}],,https://dopa-game.jp/one-piece/dp/10347815,,,,10347815,31452,DOPA(ワンピ)
{OP05-041},(PSA10)サカズキ(パラレル/漫画絵),L★,https://minnano-toreka.com/wp-content/uploads/2026/08/OP05-041_minnanotoreca-10239980.webp,(PSA10)サカズキ(パラレル/漫画絵)（L★）[{OP05-041}],,https://dopa-game.jp/one-piece/dp/10347816,,,,10347816,30726,DOPA(ワンピ)
OP01-121,ヤマト,SEC,https://minnano-toreka.com/wp-content/uploads/2026/08/OP01-121_minnanotoreca-10348080.webp,ヤマト（SEC）[OP01-121],,https://dopa-game.jp/one-piece/dp/10348080,,,,10348080,31665,DOPA(ワンピ)
