型番,カード名,レアリティ,画像URL,画像タイトル,元URL,source,src_admin_id
015/028,コスモウム,,https://minnano-toreka.com/wp-content/uploads/2026/07/015-028_pcg-a11283.webp,コスモウム[015/028],https://www.pokemon-card.com/assets/images/card_images/large/S8a/040080_P_KOSUMOUMU.jpg,公式,11283
014/036,ケルディオ,,https://minnano-toreka.com/wp-content/uploads/2026/07/014-036_pcg-a11132.webp,ケルディオ[014/036],https://www.pokemon-card.com/assets/images/card_images/large/CP5/032168_P_KERUDEIO.jpg,公式,11132
063/165,ケーシィ,,https://minnano-toreka.com/wp-content/uploads/2026/07/063-165_pcg-a11080.webp,ケーシィ[063/165],https://www.pokemon-card.com/assets/images/card_images/large/SV2a/043384_P_KESHII.jpg,公式,11080
179/171,ギルガルドEX,,https://minnano-toreka.com/wp-content/uploads/2026/07/179-171_pcg-a10881.webp,ギルガルドEX[179/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/035880_P_GIRUGARUDOEX.jpg,公式,10881
109/131,かるいし,,https://minnano-toreka.com/wp-content/uploads/2026/07/109-131_pcg-a10722.webp,かるいし[109/131],https://www.pokemon-card.com/assets/images/card_images/large/CP4/031974_T_KARUISHI.jpg,公式,10722
183/171,カリン,,https://minnano-toreka.com/wp-content/uploads/2026/07/183-171_pcg-a10714.webp,カリン[183/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/035884_T_KARIN.jpg,公式,10714
142/171,カリン,,https://minnano-toreka.com/wp-content/uploads/2026/07/142-171_pcg-a10713.webp,カリン[142/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/033694_T_KARIN.jpg,公式,10713
114/150,カウンターキャッチャー,,https://minnano-toreka.com/wp-content/uploads/2026/07/114-150_pcg-a10425.webp,カウンターキャッチャー[114/150],https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035574_T_KAUNTAKYACCHA.jpg,公式,10425
138/165,オムナイト,,https://minnano-toreka.com/wp-content/uploads/2026/07/138-165_pcg-a10335.webp,オムナイト[138/165],https://www.pokemon-card.com/assets/images/card_images/large/SV2a/043459_P_OMUNAITO.jpg,公式,10335
071/165,ウツボット,,https://minnano-toreka.com/wp-content/uploads/2026/07/071-165_pcg-a10023.webp,ウツボット[071/165],https://www.pokemon-card.com/assets/images/card_images/large/SV2a/043392_P_UTSUBOTTO.jpg,公式,10023
046/171,アンノーン,,https://minnano-toreka.com/wp-content/uploads/2026/07/046-171_pcg-a9827.webp,アンノーン[046/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/033598_P_ANNON.jpg,公式,9827
036/036,アルセウス,,https://minnano-toreka.com/wp-content/uploads/2026/07/036-036_pcg-a9764.webp,アルセウス[036/036],https://www.pokemon-card.com/assets/images/card_images/large/CP5/032190_P_ARUSEUSU.jpg,公式,9764
180/171,N,,https://minnano-toreka.com/wp-content/uploads/2026/07/180-171_pcg-a9590.webp,N[180/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/035881_T_.jpg,公式,9590
139/171,N,,https://minnano-toreka.com/wp-content/uploads/2026/07/139-171_pcg-a9589.webp,N[139/171],https://www.pokemon-card.com/assets/images/card_images/large/XY/033691_T_.jpg,公式,9589
176/171,"<span class=""pcg pcg-megamark""></span>ルカリオEX",,https://minnano-toreka.com/wp-content/uploads/2026/07/176-171_pcg-a9584.webp,"<span class=""pcg pcg-megamark""></span>ルカリオEX[176/171]",https://www.pokemon-card.com/assets/images/card_images/large/XY/035877_P_MRUKARIOEX.jpg,公式,9584
174/171,"<span class=""pcg pcg-megamark""></span>ライボルトEX",,https://minnano-toreka.com/wp-content/uploads/2026/07/174-171_pcg-a9575.webp,"<span class=""pcg pcg-megamark""></span>ライボルトEX[174/171]",https://www.pokemon-card.com/assets/images/card_images/large/XY/035875_P_MRAIBORUTOEX.jpg,公式,9575
