カード名,レアリティ,型番,画像URL,wp_id,source
モンキー・D・ルフィ：手配書 SEC-SPC,,OP05-119,https://minnano-toreka.com/wp-content/uploads/2026/09/OP05-119_minnanotoreca-349476-1.webp,32586,手動追加(カードラッシュ/第一弾CSV用に高画質へ)
モンキー・D・ルフィ SR-P (サインルフィ),,ST01-012,https://minnano-toreka.com/wp-content/uploads/2026/09/ST01-012_minnanotoreca-135441-1.webp,32583,手動追加(カードラッシュ/第一弾CSV用に高画質へ)
ギラティナV SR,,111/100,https://minnano-toreka.com/wp-content/uploads/2026/09/111-100_minnanotoreca-93379.webp,32516,手動追加(スニダン/apparel ID一致)
ミュウex,,347/190,https://minnano-toreka.com/wp-content/uploads/2026/09/SV4a-347-190_minnanotoreca-164250.webp,32540,手動追加(公式/高画質へ付け替え)
ジュラキュール・ミホーク,,OP01-070,https://minnano-toreka.com/wp-content/uploads/2026/09/OP01-070_minnanotoreca-165933-1.webp,32553,手動追加(カードラッシュ/高画質へ付け替え)
イーブイGX SR,,188/173,https://minnano-toreka.com/wp-content/uploads/2026/09/SM12a-188-173_minnanotoreca-93085.webp,32537,手動追加(公式/高画質へ付け替え)
ゼクロムex,,174/086,https://minnano-toreka.com/wp-content/uploads/2026/09/SV11B-174-086_minnanotoreca-585213-1.webp,32592,手動追加(公式/第一弾CSV用に高画質へ)
ルチア,,104/096,https://minnano-toreka.com/wp-content/uploads/2026/09/SM7-104-096_minnanotoreca-91302.webp,32539,手動追加(公式/高画質へ付け替え)
トラファルガー・ロー SR-SP (コミパラ),,OP05-069,https://minnano-toreka.com/wp-content/uploads/2026/09/OP05-069_minnanotoreca-135449-1.webp,32542,手動追加(カードラッシュ/高画質へ付け替え)
モンキー・D・ルフィ SEC-SP (コミパラ),,OP09-119,https://minnano-toreka.com/wp-content/uploads/2026/09/OP09-119_minnanotoreca-349475.webp,32521,手動追加(スニダン/apparel ID一致)
ブラッキー&ダークライGX SR,,182/173,https://minnano-toreka.com/wp-content/uploads/2026/09/SM12a-182-173_minnanotoreca-93082.webp,32535,手動追加(公式/高画質へ付け替え)
サーナイト&ニンフィアGX SR,,061/055,https://minnano-toreka.com/wp-content/uploads/2026/09/061-055_minnanotoreca-91289.webp,32522,手動追加(スニダン/apparel ID一致)
ゲンガー&ミミッキュGX SR,,103/095,https://minnano-toreka.com/wp-content/uploads/2026/09/103-095_minnanotoreca-93096.webp,32523,手動追加(スニダン/apparel ID一致)
こくばバドレックスVMAX HR,,086/070,https://minnano-toreka.com/wp-content/uploads/2026/09/S6K-086-070_minnanotoreca-91182.webp,32575,手動追加(カードラッシュ/高画質へ付け替え)
ウタ SEC-SP (コミパラ),,EB03-061,https://minnano-toreka.com/wp-content/uploads/2026/09/EB03-061_minnanotoreca-714426-1.webp,32546,手動追加(カードラッシュ/高画質へ付け替え)
シャンクス SEC-SP (コミパラ),,OP01-120,https://minnano-toreka.com/wp-content/uploads/2026/09/OP01-120_minnanotoreca-93520-card.webp,32527,手動追加(スニダン/カード部分のみ)
ポートガス・D・エース SR-SP (コミパラ),,OP02-013,https://minnano-toreka.com/wp-content/uploads/2026/09/OP02-013_minnanotoreca-102434-card.webp,32528,手動追加(スニダン/カード部分のみ)
そげキング SEC-SP (コミパラ),,OP03-122,https://minnano-toreka.com/wp-content/uploads/2026/09/OP03-122_minnanotoreca-112979-card.webp,32529,手動追加(スニダン/カード部分のみ)
モンキー・D・ルフィ(英語版/ドルトムント),L,ST13-003,https://minnano-toreka.com/wp-content/uploads/2026/09/ST13-003_minnanotoreca-556832-2.webp,32552,手動追加(カードラッシュ/高画質へ付け替え)
ボア・ハンコック(パラレル/SP/タロット柄),,EB03-026,https://minnano-toreka.com/wp-content/uploads/2026/09/EB03-026_minnanotoreca-710430-1.webp,32531,手動追加(カードラッシュ/版を機械照合)
ミス・オールサンデー(パラレル/SP/illust:Sunohara),,OP14-084,https://minnano-toreka.com/wp-content/uploads/2026/09/OP14-084_minnanotoreca-822582-2.webp,32562,手動追加(カードラッシュ/高画質へ付け替え)
ロロノア・ゾロ(illust:AKIRA EGAWA),,ST21-015,https://minnano-toreka.com/wp-content/uploads/2026/09/ST21-015_minnanotoreca-635880-2.webp,32567,手動追加(カードラッシュ/高画質へ付け替え)
ブラッキーGX,,SM8b 229/150,https://minnano-toreka.com/wp-content/uploads/2026/09/SM8b-229-150_minnanotoreca-91299.webp,32536,手動追加(公式/版をdHashで機械照合)
エーフィ&デオキシスGX SR,SR,SM12a 177/173,https://minnano-toreka.com/wp-content/uploads/2026/09/SM12a-177-173_minnanotoreca-91271.webp,32538,手動追加(公式/版をdHashで機械照合)
モンキー・D・ルフィ,,ST21-014,https://minnano-toreka.com/wp-content/uploads/2026/09/ST21-014_minnanotoreca-706813.webp,32547,手動追加(カードラッシュ/版をdHashで機械照合)
